PREVIOUS,CURRENT,COUNTER
il y,a,42
que je,ne,35
Je,ne,29
ne sais,pas,28
ne suis,pas,25
Je ne,sais,24
ce n’est,pas,23
que je,suis,22
je n’ai,pas,21
estce que,tu,21
Il y,a,20
ce que,je,18
ne va,pas,18
un peu,plus,18
Je me,sens,18
ne sont,pas,18
je ne,suis,17
que vous,avez,16
tout le,monde,16
qui se,passe,15
que je,me,15
Je ne,suis,14
qui s’est,passé,14
Qu’estce que,tu,13
je me,suis,13
estce que,je,13
que tu,as,12
je ne,sais,12
Ce n’est,pas,12
ferme les,yeux,12
Je,me,12
que je,vais,12
ce qui,s’est,11
que tu,es,11
pas le,temps,11
alors que,je,11
ne veux,pas,11
ce qui,se,11
que je,n’ai,11
Iris,J,11
Qu’estce,qui,11
étant donné,que,11
parce que,je,11
Je ferme,les,10
tout ce,qui,10
eu le,temps,10
tout ce,que,10
mais je,ne,10
Je n’ai,pas,10
Je,suis,10
que tu,ne,10
pourquoi estce,que,10
il a,été,9
qui ne,va,9
ce que,vous,9
Parce,que,9
J’ai l’impression,que,9
Pourquoi estce,que,9
que ce,soit,9
y a,un,9
que je,lui,8
que je,vous,8
il n’y,a,8
faire un,tour,8
je ne,me,8
elle se,sentait,8
que ce,n’est,8
que les,autres,8
Tout le,monde,8
un clin,d’œil,8
je sais,que,8
Je prends,mon,8
Elle,avait,7
ne vois,pas,7
ne voulait,pas,7
Si,vous,7
que tu,me,7
Je crois,que,7
Qu’estce,que,7
le premier,jour,7
fois que,vous,7
elle n’avait,pas,7
je n’avais,pas,7
Je,te,7
ça se,trouve,7
il y,avait,7
y a,longtemps,7
Je sais,que,7
c’est parce,que,7
Je ne,me,7
la première fois,que,7
Je me,demande,7
mais ce,n’est,7
C’est la première,fois,7
ce qui,ne,7
que tu,veux,6
que lui,avait,6
pas que,je,6
droit dans les,yeux,6
que je,peux,6
Bien,sûr,6
que nous,avons,6
n’en peux,plus,6
Je n’ai,jamais,6
sais que,tu,6
qu’elle n’avait,pas,6
n’ai pas,trop,6
ne peut,pas,6
Je me,mets,6
Je me,suis,6
Et,si,6
le lendemain,matin,6
que ça,va,6
ce que,tu,6
qu’il y,a,6
n’y a,pas,6
L’exception la bizarre,l’anormale,6
Ce que,je,6
ce que,j’ai,6
On aurait,dit,6
me revient,à l’esprit,6
plus que,ça,6
fois que,je,6
si je,ne,6
quand estce,que,6
Qu’estce qui,se,6
les personnes,qui,6
que tu,étais,6
s’il te,plaît,6
Tu,es,6
C’est là,que,6
Tu n’as,pas,6
Une fois,que,6
Ethan,J,6
tout allait,bien,6
Je ne,veux,6
un long,moment,6
je pense,que,6
encore un,peu,6
C’est,une,6
que le,miroir,6
qui se,passait,6
c’est moi,qui,5
Elle n’avait,pas,5
ne vais,pas,5
que tout,le,5
le plus,beau,5
ce qui,lui,5
quelque chose,qui,5
le temps,d’y,5
que mon,père,5
minutes plus,tard,5
les larmes,aux yeux,5
si ça,se,5
ne pouvait,pas,5
que si,je,5
Je ne,vois,5
y a,une,5
que quelque,chose,5
n’est pas,une,5
fois de ma,vie,5
le temps,de passer,5
Iris J,290,5
jours plus,tard,5
à peine le,temps,5
Je,lui,5
Il n’y,a,5
Qu’estce qui,te,5
pas le,droit,5
le jour,où,5
pas trop,envie,5
s’il vous,plaît,5
il lui,fallait,5
Il doit,être,5
lui avait,parlé,5
que ça,ne,5
avait eu,le,5
Ethan Jour,J,5
j’ai l’impression,que,5
je me,dirige,5
lis dans ses,yeux,5
tout ce,dont,5
Je me,dirige,5
fait un,clin,5
Cet exercice,est,5
crois que,je,5
à ce que,je,5
je ne,connais,5
que je,veux,5
suis pas,vraiment,5
lui dit,que,5
n’avait pas,le,5
une fille,qui,5
sur la rue du Champ,de Mars,5
même si,je,5
elle avait,eu,5
tout le,temps,5
comme si,je,5
Ethan,Jour,5
ne pense,pas,5
je n’étais,pas,5
pour la première fois,de ma,5
vous vous,êtes,5
où elle,avait,5
tout comme,le,5
n’ai pas,vraiment,4
répondit,Siana,4
sont pas,encore,4
parce que,j’étais,4
Que se,passetil,4
Je te,signale,4
Je comprends,que,4
Elle,le,4
dans sa chambre,elle,4
y a,bien,4
que nous,sommes,4
sais pas,Je,4
réservé à nos,abonnés,4
lui avait,été,4
fut un,temps,4
Elle se,retrouva,4
de ma vie,Je,4
ce ne,sera,4
qui avait,été,4
C’est ce,que,4
Estce,que,4
si,vous,4
que tu,n’as,4
vous avez,besoin,4
Je me,remémore,4
quelque chose,ne,4
je me,demande,4
est mon,frère,4
tellement fort,que,4
Je pense,que,4
Je n’avais,jamais,4
pas parce,que,4
il,s’agit,4
juste le,temps,4
ne serait,pas,4
que je,n’en,4
me fait,un,4
je sors,une,4
si je,peux,4
toute ma,vie,4
Je vous,ai,4
n’avait pas,encore,4
une belle,journée,4
nous ne,sommes,4
jour où,elle,4
ne connais,pas,4
De toutes,les,4
plus ou,moins,4
même si,elle,4
me demande,si,4
pas comme,si,4
jonché sur le,visage,4
je ne,veux,4
que tous,les,4
je ne,m’en,4
Elle n’aurait,su,4
aurait dit,que,4
tous les,jours,4
se dit,qu’elle,4
vous avez,fait,4
à tout ce,qui,4
Je me,fais,4
ne sera,pas,4
à quel point,je,4
c’est juste,que,4
n’aurait su,dire,4
quand elle,le,4
y a,deux,4
Elle,était,4
devenait de plus,en plus,4
avec un,sourire,4
lorsque je,sens,4
ne manquait,pas,4
Elle,ne,4
dans un accident,de voiture,4
heures plus,tard*,4
dit que,tu,4
avait le,temps,4
encore une,fois,4
que ce,que,4
que tu,le,4
ce n’était,pas,4
que je,vois,4
suis pas,une,4
bien que,mal,4
dessus bras,dessous,4
que nous,ne,4
Je me,sentais,4
une personne,qui,4
oui,Et,4
Ce fut,un,4
je suppose,que,4
jusqu’à ce,que,4
je veux,dire,4
Il,était,4
qui je,suis,4
Article réservé,à nos,4
sais pas,ce,4
le temps,que,4
Non,pas,4
que je,dois,4
je n’arrive,pas,4
à nos abonnés,Lire,4
me dirige,vers mon,4
n’est pas,comme,4
je ne,l’ai,4
toutes les,façons,4
ne suffit,pas,4
faut que,je,4
Après,avoir,4
je vous,recommande,4
Brian est,mon,4
parce,que,4
ce qui,est,4
vous n’avez,jamais,4
que je,sais,4
ne fallait,pas,4
le temps,de reprendre,4
Je lis,dans ses,4
dirige vers mon,cours,4
que tu,peux,4
qu’estce que,tu,4
uns que,les,4
Et si,elle,4
si je,suis,4
je ne,peux,4
chose ne,va,4
elle y,avait,4
Je lui,souris,4
Pas,vraiment,4
que je,ressens,4
Je ne,pense,4
ce qu’elle,avait,4
elle avait,le,4
sais que,je,4
ce n'était,pas,4
tu es,le,4
sors une,feuille,4
qui ne,se,4
que je,n’étais,4
les yeux,et me,4
tout le,village,4
abonnés Lire,aussi,4
que nous,nous,4
pas ce,que,4
J’ai le,sentiment,4
m’a dit,que,4
que tu,fais,4
Si,tu,4
était encore,là,4
La jeune,fille,4
si elle,allait,4
plus qu'un,souvenir,4
mais je,sais,4
ne seraient,pas,4
les uns,que,4
prend dans ses,bras,4
Et,ce,4
À la fin,du cours,4
un sourire,diabolique,3
dans les prochains,jours,3
Laissemoi,tranquille,3
Ça fait,maintenant,3
déjà mort,Je,3
Au contraire,les,3
une feuille,de mon,3
Et,il,3
le,zombie,3
eut à peine,le,3
Il n’est,pas,3
Si tu,crois,3
Je,vous,3
Eh,bien,3
mort Je,me,3
elle était,curieuse,3
a un,an,3
3 ou,4,3
se dit,Siana,3
y avait,vécu,3
suis vraiment,désolé,3
qu’elle avait,eu,3
Il n'y,a,3
Je n’arrive,pas,3
serre les,poings,3
cœur se,serre,3
parce que,sinon,3
les pensées,et les,3
La dissonance,cognitive,3
veux,Je,3
Il faut,que,3
que je,l’ai,3
si le,salarié,3
faire quelque,chose,3
Je,vais,3
qu’elle me,trouvait,3
demanda si,elle,3
dit,Lily,3
ne me,suis,3
Il y,avait,3
Dire que,je,3
je t’ai,fait,3
va,Tu,3
où elle,était,3
qu’elle ne,voulait,3
ce qui,me,3
les deux,femmes,3
il ne,se,3
les fées,étaient,3
je me,retourne,3
Et puis,je,3
y a,quelques,3
qui lui,ont,3
quoi sert,le,3
me suis,pas,3
tous ses,amis,3
me demande,comment,3
le sourire,aux lèvres,3
comment je,me,3
passa un,long,3
dans le bureau,du proviseur,3
Il est,déjà,3
le roi,du monde,3
Je suis,sincèrement,3
avec son,épouse,3
sert le,mentalisme,3
était déjà,bien,3
droit estce,que,3
a deux,ans,3
Non je,ne,3
Je repense,à ce,3
Pourquoi,Parce,3
Je me,souviens,3
dis que,je,3
Si vous,avez,3
Salade de fanes,aux agrumes,3
La mémoire,photographique,3
absolument que,je,3
une jeune,femme,3
ai plus,que,3
que votre,interlocuteur,3
tel que,je,3
que vous,voyez,3
avait bien,du mal,3
sais que,c’est,3
Je suppose,que,3
tu crois,que,3
qui te,fait,3
quelque chose,comme,3
où estce,que,3
s’est passé,ce,3
ce qui,te,3
déjà sept,heures,3
eut le,temps,3
À quoi,sert,3
n’est pas,parce,3
un peu,moins,3
qui viennent,se,3
Elle a,l’air,3
ne savent,pas,3
prends dans mes,bras,3
comment estce,que,3
qu’il était,possible,3
dans un certain,sens,3
Je,crois,3
Et je,peux,3
À un,moment,3
ne veut,pas,3
Elles n’avaient,pas,3
les deux,amies,3
faire,Je,3
si tu,veux,3
Au bout,de quelques,3
dirige vers la salle,de bain,3
ne savais,pas,3
de ne pas,être,3
mais elle,avait,3
que la jeune,fille,3
Une fois,le,3
y a,les,3
personne qui,n’a,3
Le coldreading,est,3
le plus,populaire,3
Je suis,vraiment,3
Depuis quand,estce,3
me fait,du bien,3
Mary et sa,famille,3
le sentiment,d’être,3
où elle,les,3
Oui,je,3
elle se,retrouva,3
si elle,était,3
Je,n’en,3
que vous,ne,3
là que,je,3
voir ce,que,3
avec mes,parents,3
Ce,n’est,3
disposition tous,les,3
qui a,été,3
ne supporterai,pas,3
ne suis,rien,3
Je ne,peux,3
a dit,que,3
que je,faisais,3
où je,suis,3
cette année,était,3
Cette fille,est,3
l’impression que,je,3
C’est la même,chose,3
Comment estce,que,3
je lui,ai,3
je n’ai,jamais,3
je me,remémore,3
elle n’eut,pas,3
ce que,ça,3
ils sont,tous,3
sûr que,ça,3
qui vous,aideront,3
demandez un,service,3
si vous,souhaitez,3
qui me,fait,3
que j’ai,fait,3
Je,n’avais,3
petites amies,les,3
si elle,avait,3
Lui,demandeje,3
que tu,viens,3
faut absolument,que,3
que vous,lui,3
comme elle,l’avait,3
passe son,temps,3
Je peux,voir,3
Je suis,sûr,3
préféré que,je,3
que Siana,ne,3
Dans tous,les,3
C’est,moi,3
Elle,allait,3
n’était pas,encore,3
Non,je,3
il ne,pouvait,3
poser la question,qui,3
qu’elle ne,pouvait,3
la bizarre l’anormale,L’exception,3
demande comment,estce,3
Il était,l’heure,3
qui lui,était,3
je n’ai,plus,3
parce que,j’ai,3
que je,devrai,3
avec ses,parents,3
lorsque je,suis,3
Sans m’en,rendre,3
qui ont,été,3
Tout va,bien,3
La douleur,est,3
jusqu’au moment,où,3
Nous,allons,3
c’est un,peu,3
Le truc,c’est,3
tout va,bien,3
estce que,ça,3
cet exercice,vous,3
matin elle,irait,3
avec les,autres,3
moment précis,que,3
un coup,de main,3
me suis,trompée,3
si je,voulais,3
y a,encore,3
ce n'est,pas,3
que personne,ne,3
ne semble,pas,3
l’anormale L’exception,la bizarre,3
De,ma,3
que tout,cela,3
c’est la même,chose,3
n’étais plus,là,3
elle était,bien,3
y a,plusieurs,3
C’est ce,qu’on,3
que je,t’ai,3
dans l’esprit de votre,interlocuteur,3
doit sûrement,être,3
qu’elle allait,bien,3
que j’ai,pu,3
que cette,année,3
les nations,les,3
où mes,parents,3
ce qui,compte,3
dit,Cedrick,3
je ne,te,3
C’est pour cette,raison,3
Vous,êtes,3
dire quelque,chose,3
C’est à ce,moment,3
mon meilleur,ami,3
que tu,aimes,3
truc c’est,que,3
feuille de mon,sac,3
ne l’ai,jamais,3
à quel point,elle,3
avec son,mari,3
me dis,que,3
je ne,serais,3
