PREVIOUS,CURRENT,COUNTER
le miroir,lui,3
big,data,3
ce qu’il,était,3
personne que,vous,3
m’allonge sur mon,lit,3
tomber ma,tête,3
à ce momentlà,que,3
avec un,garçon,3
que mon,frère,3
un peu,délaissé,3
pour se rendre,intéressant,3
Elle avait,prévu,3
Personne ne,t’aime,3
Puis elles,se,3
estce que,les,3
sais très,bien,3
le monde,est,3
ne connaissait,pas,3
peutêtre un,peu,3
Je lui,dis,3
ça,Je,3
La femme,se,3
n’est pas,vraiment,3
m’en rendre,compte,3
qui n’a,pas,3
si tout,allait,3
suis pas,venue,3
Elle,fut,3
Elle,me,3
très bien,que,3
Tu,as,3
les petites,fées,3
il fallait,bien,3
tous les,cas,3
lui dit,Lily,3
que se,trouvait,3
Ce sont,les,3
je ne,lui,3
garçon aux yeux,du ciel,3
que tu,vas,3
le temps,d’aller,3
pas plus,que,3
souris à cette,pensée,3
n’en pouvais,plus,3
Mon cœur,se,3
Je décide,alors,3
S’il y,a,3
est plus,facile,3
Il,lui,3
sais pas,trop,3
Je n’en,peux,3
est morte,il,3
Ils,se,3
à l’heure qu’il,est,3
il,ne,3
elle était,là,3
tandis que,les,3
dire que,tu,3
Siana eut,à peine,3
repense à tout,ce,3
ou le,soir,3
Pourquoi,estce,3
ne voulais,pas,3
il lui,faudrait,3
amies les,fées,3
y avait,une,3
Sur le,chemin,3
que je,dis,3
je n’en,peux,3
et tout ce,que,3
Oh Eh,bien,3
avait quelque,chose,3
je vais,lui,3
plus que,les,3
nous ne,nous,3
pas vraiment,sociable,3
eu un,fils,3
que vous,pourrez,3
votre grille,d’analyse,3
que tu,lui,3
va pas,chez moi,3
Je,sais,3
consiste à tracer,le,3
les bras,chargés,3
une oeuvre,nouvelle,3
Elle fut,accueillie,3
que je,pourrai,3
dans le compartiment,de l’écritoire,3
bras dessus,bras,3
vous demandez,un,3
Si vous,êtes,3
fois que,j’ai,3
Je souris,à cette,3
le tour,de son,3
fille qui,te,3
que je,n’avais,3
rendre compte,je,3
que ta,mère,3
c’est elle,qui,3
je vous,ai,3
que c’est,le,3
une grande,maison,3
qui se,trouvaient,3
Je,n’ai,3
Je ne,vais,3
On,se,3
Siana,se,3
Si vous,n’avez,3
lui dis,que,3
le temps,de se,3
petit coup,de pouce,3
Vous n’êtes,pas,3
si elle,ne,3
tu me,veux,3
comme si,j’étais,3
d’aller faire,un,3
le portrait,psychologique,3
que tu,te,3
première partie,du livre,3
séché les,cours,3
une belle,soirée,3
un moment,je,3
bien plus,que,3
Lily,était,3
il,est,3
chose que,vous,3
C’est pour ça,que,3
Je,savais,3
les jeunes,filles,3
encore plus,fort,3
est déjà,sept,3
je dois,dire,3
un peu,comme,3
je me,dis,3
dirigea vers le,miroir,3
plus que,marre,3
ce que,j’appelle,3
personne à qui,vous,3
Elle,a,3
tu n’as,pas,3
tous les,autres,3
lui tends,la main,3
je,me,3
que vous,allez,3
un cri,de douleur,3
ma chère,enfant,3
qu’il a,été,3
elle allait,se,3
que je,sois,3
C’est une,bonne,3
je ne,pourrai,3
Ethan,Je,3
pourquoi les,gens,3
Je,comprends,3
exactement le,même,3
Je le,déteste,3
n’avait pas,eu,3
dire que,je,3
parce que,tu,3
il,n’y,3
votre sens,de l’observation,3
il lui,avait,3
Elle,se,3
parce que,c’est,3
quoi que,ce,3
village et ses,habitants,3
je ne,savais,3
Si vous,ne,3
Ne,pas,3
me prend,dans ses,3
avec un,peu,3
quelques pages,de son,3
En fin,de compte,3
jamais Je,ne,3
estce que,j’ai,3
passé ce,matin,3
tant bien,que,3
de tout ce,qui,3
l’impression que,les,3
Quoi,Non,3
n’eut pas,le,3
