PREVIOUS,CURRENT,COUNTER
que,je,277
que,tu,137
je,ne,126
Je,ne,110
que,vous,95
ce,qui,94
le,temps,93
un,peu,91
Je,me,81
ce,que,79
y,a,73
n’est,pas,69
je,suis,65
je,me,63
Je,suis,60
que,les,58
tous,les,56
il,y,56
qui,se,55
parce,que,55
estce,que,54
elle,avait,53
que,j’ai,51
a,été,49
que,ce,47
que,le,47
plus,tard,46
elle,était,46
il,est,46
que,nous,44
avec,un,44
le,monde,43
vous,avez,43
qui,ne,42
quelque,chose,42
ne,me,41
alors,que,40
que,ça,39
toutes,les,39
les,yeux,39
elle,se,38
ne,sais,38
avait,été,38
je,vous,37
qu’elle,avait,37
Il,est,36
est,un,36
tout,ce,36
un,petit,36
Elle,avait,35
pas,le,35
je,n’ai,34
mais,je,34
Une,fois,34
un,jour,33
tout,le,33
n’avait,pas,33
où,elle,33
si,elle,33
qui,lui,33
les,gens,32
ne,suis,32
si,je,32
n’ai,pas,32
le,plus,32
il,ne,32
les,autres,32
Elle,se,32
ce,n’est,31
avec,une,30
n’était,pas,30
suis,pas,30
qui,me,30
Si,vous,29
ne,se,29
sais,pas,29
plus,que,29
avec,le,29
bien,sûr,28
tu,es,28
le,village,27
je,vais,27
vous,êtes,27
comme,si,27
Il,y,27
le,miroir,27
pas,encore,27
tu,as,26
que,l’on,26
si,vous,26
avec,les,26
lui,avait,26
y,avait,26
qui,vous,26
pas,vraiment,26
elle,est,26
que,c’est,25
de plus,en plus,25
me,suis,25
il,se,25
même,pas,25
les,deux,25
qui,avait,25
elle,ne,24
vous,vous,24
pas,une,24
pas,trop,24
les,plus,24
qui,est,24
Il,a,24
il,lui,24
fois,que,22
me,sens,22
qu’il,est,22
Il,ne,22
les,enfants,22
dit,que,22
se,passe,22
que,cette,22
dit,Lily,21
votre,interlocuteur,21
avec,son,21
Je,lui,21
Je,te,21
dans les,yeux,21
que,tout,21
avec,moi,21
il,a,21
il,était,20
qui,a,20
Qu’estce,que,20
elle,allait,20
une,personne,20
que,mon,20
peu,plus,20
le,lendemain,20
si,tu,20
Il,était,20
le,jour,20
Tu,es,20
ne,sont,20
encore,plus,20
va,pas,19
qu’elle,ne,19
ne,va,19
je,sais,19
ce,qu’elle,19
mon,père,19
lui,dit,19
le,soir,19
très,bien,19
les,fées,19
le,premier,19
Je,n’ai,19
pas,les,18
avait,eu,18
sont,pas,18
Il,me,18
comme,ça,18
je,peux,18
je,lui,18
que,c’était,17
cette,année,17
une,petite,17
sais,que,17
il,avait,17
qui,était,17
Je,repense,17
Elle,était,17
dans sa,chambre,17
une,fois,17
le,mentalisme,17
me,fait,17
Qu’estce,qui,17
qui,s’est,17
est,une,17
de ne,pas,16
ne,pouvait,16
se,trouve,16
qui,les,16
où,je,16
que,son,16
celles,qui,16
l’impression,que,16
dire,que,16
ne,peut,16
Elle,ne,16
me,demande,16
n’a,pas,16
pour la première,fois,16
pas,que,16
bien,que,16
qu’il,ne,16
ou,un,16
même,si,16
tu,ne,16
le,long,15
je,veux,15
Je,vous,15
je,te,15
s’est,passé,15
sur le,visage,15
se,sentait,15
que,si,15
étant,donné,15
ne,pas,15
le,chemin,15
avait,une,15
mon,téléphone,15
à quel,point,15
mais,elle,15
le,petit,15
ce,qu’il,15
quand,elle,15
se,trouvait,15
J’ai,l’impression,15
Après,avoir,15
Je,sais,15
ma,vie,15
Siana,se,15
comme,le,15
ne,lui,15
nous,allons,15
une,belle,14
Bien,sûr,14
est,le,14
elle,voulait,14
Par,exemple,14
Et,si,14
ça,va,14
vous,ne,14
Je,le,14
le,même,14
la jeune,fille,14
mais,il,14
lorsque,vous,14
que,ma,14
tandis,que,14
Vous,avez,14
que,lui,14
dit,Siana,14
je,le,14
tout,de suite,14
non,plus,14
tout,à l’heure,14
n’y,a,14
que,j’avais,14
avec,elle,14
lorsque,je,14
une,bonne,14
bien,vite,14
ce,matin,14
je,pense,14
ça,ne,13
avec,ses,13
Siana,avait,13
doit,être,13
il,s’agit,13
fait,un,13
dont,elle,13
que,cela,13
fille,qui,13
qui,te,13
nous,avons,13
personne,qui,13
se,retrouva,13
dans ma,chambre,13
un,grand,13
nous,ne,13
Elle,est,13
son,amie,13
que,Siana,13
Tout,le,13
elle,n’avait,13
avec,lui,13
crois,que,13
ce,soit,13
les,mêmes,13
Et,le,13
Et,puis,13
mon,frère,13
C’est,une,13
un,moment,13
je,dois,12
ne,nous,12
je,n’avais,12
Je,vais,12
c’est,que,12
mais,aussi,12
C’est,un,12
je,trouve,12
Parce,que,12
ses,amis,12
ont,été,12
avait,le,12
Ce,n’est,12
ferme,les,12
comme,un,12
nous,sommes,12
elle,aussi,12
le,moment,12
de ma,vie,12
a,un,12
est,déjà,12
dans ses,bras,12
que,ses,12
une,grande,12
je,l’ai,12
elles,avaient,12
sont,les,12
Pourquoi,estce,12
de toutes,les,12
ne,veux,12
qu’elle,était,12
Iris,J,12
dit,qu’elle,12
chose,qui,12
eu,le,12
Je,sens,12
tout,de même,12
de votre,interlocuteur,12
n'est,pas,12
faire,un,12
le,sentiment,12
jeune,fille,12
Elle,a,12
pense,que,12
il,fallait,12
pas,un,12
vous,pouvez,11
comme,une,11
pas,si,11
où,elles,11
Ce,fut,11
mais,ce,11
je,n’en,11
les,personnes,11
pourquoi,estce,11
qui,sont,11
c’est,un,11
on,y,11
veux,pas,11
qu’il,a,11
parce,qu’il,11
Je,n’en,11
un,bon,11
si,on,11
tu,vas,11
de ma,mère,11
dont,je,11
pour ne,pas,11
Nous,allons,11
me,dirige,11
Siana,ne,11
tout,cela,11
Elles,se,11
qui,le,11
allait,bien,11
Elle,me,11
très,vite,11
un,livre,11
ils,ne,11
C’est,ce,11
Ce,sont,11
Ce,qui,11
tu,veux,11
elle,lui,11
un,sourire,11
la même,chose,11
je,sors,11
tu,me,11
ses,yeux,11
bien,plus,11
de ce,qui,11
le,travail,11
pas,ce,11
Dans,les,11
donné,que,11
elles,se,11
Si,tu,11
Je,fais,11
il,n’y,11
