PREVIOUS,CURRENT,COUNTER
L’état,de préparation,2
que,j'ai,2
à l'homme,sur elle,2
force,Ateliers,2
lourd,fardeau,2
pensionnaire,une,2
à n’importe,qui,2
d’un,café,2
à jamais,que,2
à l’époque,où,2
je,la connais,2
ta,vie,2
vie,à cette,2
Lorsqu’elle,est,2
yeux,pour mieux,2
cela,fait,2
mort,de peur,2
Dubon,Je,2
J,273,2
était,satisfaite,2
d’où,s’échappaient,2
apporter,un,2
eût,fait,2
trouvé,le,2
qui,commençait,2
bébé,que,2
Arrivée,au cottage,2
nouveau,livre,2
instants,privilégiés,2
les,paroles,2
le,malheur,2
doux,il,2
des chaises,les,2
nom,Mais,2
clairement,exprime,2
les,heures,2
voilà,ce,2
dans les,pensées,2
juge,pas,2
un,individu,2
d’autres,termes,2
le,caractère,2
ne,m’a,2
déjà,quelques,2
la première,personne,2
mère,Elle,2
la réaction,de ma,2
veux,que,2
nous,passons,2
Ornella,ne,2
à cette,activité,2
l’invita,à entrer,2
bout,du sentier,2
de pomme,et quelques,2
de lire,quelques,2
une,malédiction,2
de son,aide,2
son,charme,2
le,présent,2
n’a,d’égal,2
rhéteurs,législateurs,2
respire,on,2
au regard,limpide,2
les,ont,2
ce,troisième,2
ne,remplace,2
qu'exprime,montre,2
qu'elles,s'aiment,2
c'est,lui,2
maison,de pension,2
Et,ceci,2
en nous,éloignant,2
devenir,plus,2
ont,le,2
chaque,carton,2
il,l’a,2
à une,personne,2
vous,commencerez,2
envie,de hurler,2
faux,Je,2
et ce,n’est,2
visage,Il,2
trompée,sur elle,2
Iris,pas,2
eu,d’amis,2
et moi,avons,2
de me,cacher,2
déjà,étudié,2
vous,intéresse,2
par sa,mère,2
son,cousin,2
jusqu’à,sa,2
Sur,ces,2
pensa,Siana,2
grand,besoin,2
fais,pitié,2
au village,il,2
l’atelier,de reliure,2
Chaque,jour,2
pris,à domicile,2
pour les,jeunes,2
et arbitraire,Pour,2
elle,fera,2
développait,elle,2
salutaire,du clocher,2
sournois,malfaisant,2
chroniques,le,2
aussitôt,A la deuxième,2
ont,suivies,2
cela,un,2
chantante,nid,2
souffert,travaillé,2
le,sont,2
travail,qui,2
mon,point,2
les,cheveux,2
entendu,dire,2
10,personnes,2
Je,venais,2
se,serait,2
tire,la langue,2
est,sincère,2
mais,n’ai,2
s’il,lui,2
se,tenant,2
de lui,apporter,2
livre,Elle,2
du mal,à croire,2
optimiste,que,2
se,bousculaient,2
à moins,que,2
frère,a,2
Mary,arrivait,2
Bains,de la Déesse,2
Ils,s’installèrent,2
du château,il,2
Comment,alors,2
guide,Par,2
A cette,souffrance,2
Françoise,qui,2
abbé,fondateur/',2
prêcha,pas,2
où,s'accrocheraient,2
et l'ameublement,coûtera,2
eut,qu'une,2
tenir,correctement,2
autres,exercices,2
demande,s’il,2
peux,lui,2
Très,bien,2
finit,par me,2
dû,lui,2
dans un,endroit,2
essayant,de me,2
aucune,envie,2
qui,promettait,2
pouvait,laisser,2
petit,salon,2
sa,future,2
ou,peutêtre,2
nouvel,ami,2
au cottage,où,2
mon,bonheur,2
sourire,Elle,2
sens,que,2
africaines,de la culture,2
une,montée,2
la fin,de l’année,2
sa,tête,2
Aussi,faudratiî,2
profit,une,2
charmant,d'une,2
quelconque,elle,2
au large,la mer,2
les,énergies,2
avoir,autant,2
et que,vous,2
avoir,un,2
fait,mal,2
sur le,projet,2
conscience,me,2
impossible,qu’elle,2
pas,qu’elle,2
village,oublié,2
heures,Elle,2
enfila,une,2
pour se,précipiter,2
parla,de sa,2
suis,désolée,2
parents,de Cedrick,2
sous le,grand,2
31,octobre,2
sceptre,et une,2
n'a,rien,2
misère,aucune,2
misères,relever,2
l'air,On,2
des collines,prochaines,2
flamboyantes,des rues,2
encore,la douzaine,2
alors,au No,2
au long,de votre,2
beau,sourire,2
