PREVIOUS,CURRENT,COUNTER
tu,te,6
une,technique,6
le,garçon,6
ils,étaient,6
répondit,Siana,6
C’est,le,6
Et,il,6
encore,quelques,6
Elle,trouva,6
La,femme,6
qui,aurait,6
de l’autre,côté,6
Et,bien,6
tu,sais,6
un,mot,6
que,Brian,6
de sa,vie,6
revient,à l’esprit,6
À,quoi,6
une,partie,6
pas,été,6
n’en,peux,6
elle,s’était,6
long,moment,6
aussi,bien,6
ne,sera,6
dans le,petit,6
faire,découvrir,6
ce,village,6
est,toujours,6
me,faire,6
mais,tu,6
Un,jour,6
aucune,idée,6
ne,pense,6
avait,fait,6
Estce,que,6
je,tente,6
avait,besoin,6
Je,pense,6
les,façons,6
Je,regarde,6
quand,estce,6
leur,dit,6
droit,dans les,6
dans mes,bras,6
lui,dire,6
toute,sa,6
En,passant,6
mon,sac,6
lui,demanda,6
mais,comment,6
se,passer,6
vous,pourrez,6
meilleur,ami,6
Il,faudrait,6
elles,ont,6
Je,sors,6
elle,prit,6
Les,gens,6
Si,je,6
je,voudrais,6
allait,être,6
plus,vite,6
dans ma,tête,6
quand,le,6
ne,connais,6
à tout,ce,6
Tous,ces,6
nous,nous,6
son,téléphone,6
lui,faisait,6
La,majorité,6
Dans,un,6
vous,souhaitez,6
De,toutes,6
Comme,si,6
je,parle,6
que,ta,6
cette,fille,6
J’espère,que,6
les,élèves,6
juste,que,6
Et,tout,6
mon,visage,6
Je,suppose,6
compris,que,6
pas,du tout,6
l’impression,d’être,6
tout,seul,6
plus,ou,6
En,réalité,6
si,elles,6
Elle,allait,6
lui,dis,6
faire,une,6
petit,déjeuner,6
elle,ajouta,6
pourquoi,je,6
deux,semaines,6
C’est,là,6
les,couleurs,6
tout,juste,6
comme,je,6
elle,demanda,6
vie,Je,6
qu’elle,aurait,6
ne,le,6
grand,jour,6
toutes,deux,6
je,ressens,6
me,sentais,6
se,fait,6
ne,sommes,6
plus,fort,6
il,existe,6
avait,beaucoup,6
de ce,que,6
plus,jamais,6
pas,besoin,6
à se,rendre,6
ce,n’était,6
lui,ai,6
était,une,6
ancienne,école,6
tu,fais,6
le,proviseur,6
Ils,ont,6
me,dire,6
je,t’ai,6
jamais,Je,6
suis,vraiment,6
plus,facilement,6
plus,tard*,6
qu’elle,allait,6
se,dirigea,6
Au,bout,6
j’ai,un,6
il,fallut,6
pas,faire,6
vous,aider,6
et sa,famille,6
et je,ne,6
une,dizaine,6
plus,précisément,6
Je,peux,6
se,retrouver,6
un,rôle,6
ce,ne,6
à chaque,fois,6
le,rocher,6
serait,déjà,6
dont,le,6
son,temps,6
les,cadeaux,6
dernières,années,6
avait,dit,6
était,tout,6
que,quelques,6
les,groupes,6
mes,amis,6
plus,là,6
me,semble,6
Autrement,dit,6
de temps,en temps,6
Elle,leur,6
ne,vous,6
Il,lui,6
sa,nouvelle,6
analyser,les,6
c’est,faux,6
tu,auras,6
que,leur,6
sa,famille,6
Mais,si,6
une,fée,6
les,pieds,6
Après,un,6
peut,pas,6
il,leur,6
les,uns,6
Il,doit,6
donc,un,6
même,une,6
Le,coldreading,6
tu,seras,6
avec,quelques,6
vous,plaît,6
si,bien,6
On,aurait,6
chose,que,6
le,Foyer,6
