Spécialités la vapeur,
Raviolis aux Iégumes,
Raviolis au poulet,
Raviolis aux crevettes,
Bcwchées de crevettes wapeur,
Bouchées de porc,
Bouchées de boeuf,
Roviolis pékinois villés,
Potage de maison aux fruits de mer,
Potage de raviolis chinois,
Potage aux asperges et crabe,
Potage de poulet aux vermicelless chinoises,
Potage de poulet aux nouilles chinoises,
Potage piquand à la pékinoise,
Potage thaï aux crevettes ,
Potage Saïgonnais,
Salade chinoise auk crevettes et crabe,
Salade au crabe,
Salade aux crevettes,
Salade au poulet,
Salade Thai au boeuf,
Nêms au poulet,
Rouleau de printemps,
Raviolis chinois,
Samoussa au porc
Samousse au curry
Toasts aux crevettes frits,
Bo Bun,
Omelette nature,
Omelette au crabe,
Omelette aux crevettes,
Crevettes en beignet,
Plateau de Lotus Chaud et froid,
Crevettes sautées,
Crevettes sauce aigre-douce,
Crevettes au curry,
Filet de posson à la sauce aigre-douce,
Filet de Poisson curry,
Filet de Poisson à la sauce pékinoge
Seiches à la sauce pékinoise,
Seiches au sel et au poivre,
Canard aux cinq parfums,
Canard au curry,
Canard aux champignons noirs,
Canard ananas,
Poulet chef,
Poulet frit,
Poulet au gingembre,
Poulet au citron,
Poulet citronnelle,
Poulet sauce saté
Poulet sauté aux noix de coco,
Poulet aux amandes,
Poulet sauce piquante,
Poulet au curry,
Poulet aux champignons,
Boeuf aux oignons,
Boeuf aux champignons,
Boeuf gingembre,
Boeuf sauce saté,
Boeuf à la sauce impériale,
Boeuf au curry,
Porc laqué,
Porc aux champignons noirs
Porc à la sauce aigre-douce,
Porc à la sauce saté,
Porc à la sauce impériale,
Nouilles sautées aux crevettes,
Nouiles sautées au poulet,
Nouilles sautées aux légumes,
brocolis sautés nature,
Riz sauté Thai aux crevettes,
Riz cantonais,
Riz au curry,
Riz gluant Ia vapeur,
Riz nature,
Fondue aux fruits de mer,
Fondue au saté,
Crevettes grillées au barbecue,
Coquilles St-Jacques sautées,
Coquilles St-Jacques au sel et poivre,
Coquilles St-Jacques en beignet,
Coquilles St-Jacgues,
Coquilles St-Jacques Ia sauce saté,
CoquiIIes St-Jacques aux noix de ceou,
Grosses crevettes sel et poivre,
Grosses crevettes Ia citronnelle,
crevettes sautées ail,
Cuisses de grenouille au poivre,
Cuisses de grenouille impériales,
Cuisses de veroui'e au Ong-embre
Travers de porc laqué,
Travers de porc au caramel,
Travers de porc grillés au sel et au poivre,
Canard pékinois,
OIGNON BHAJA,
AUBERGINE BHAJA
CREVETTES PAKORA,
POULET PAKORA,
SAMOSSA LEGUMES,
MIXTE BEIGNET,
SAMOSSA VIANOE,
POULET TANDOORI,
POULET Tikka,
SEEKH KABAB,
AGNEAU TIKKA,
POISSON TIKKA,
GAMBAS TANDOORI,
GRILLE MIXTE,
POULET CURRY,
Poulet madras,
POULET SAGWALA,
POULET VINDALLOO,
POULET KORMA,
POULET TIKKA MASSALA,
BUTTER CHICKEN,
POULET TANDOORI MASSALA,
POULET CHAMPIONS,
POULET KASHMIRI,
LE TAJ MAHAL SPECIAL CURRY,
AGNEAU CURRY,
AGNEAU MADRAS,
AGNEAU KORMA,
AGNEAU VINDALOO,
AGNEAU AUBERGINES,
AGNEAU SAGWALAA,
AGNEAU TIKKA MASSALA,
AGNEAU KASMIR,
AGNEAU BALTI GOSTH,
KEENA MATAR,
KOFU CURRY,
KOFTA MADRAS,
KOFTA KORMA,
BOEUF CURRY,
BOEUF MADRAS,
BOEUF VINDALOO,
BOEUF BALTI GOSTH,
BOEUF KASHMIR,
BOEUF KORMA,
CREVETTES CURRY,
CREVETTES MADRAS,
CREVETTES KORMA,
CREVETTES MASSALA,
CREVETTES CHAMPIGNONS,
CREVETTES KASHMIR,
GAMBAS MASSALA,
BIRYANI LE TAJ MAHAL,
BIRYANI LEGUMES,
BIRYANI POULET,
pouLET TIKKA BIRYANI,
BIRYANI AGNEAU,
BIRYANI BOEUF,
BIRYANI CREVETTEs,
RIZ SAFRAN,
Riz basmati,
Riz pilao,
RIZ OEUF Dur,
Samos au boeuf,
Salade Exotique,
Gambas exotique,
Cube de Thon,
Filet de boeuf en croûte sauce foie gras,
Pepe soupe de tripe parfumé au poivre de penia,
Sole braise,
Ndole royale,
Tiep bou dienn,
Fois gras,
Beignet d' acras,
Pastelle,
Gambas grillée,
Salade des îles,
Buche de noël,
Tarte tatin banane,
Salade de fruits tropicaux,
Moelleux aux chocolat sur lit de crème anglaise,
Assiette créole,
Assiette découverte,
Tartare de saumon gravlax,
Salade de crudité,
Achard de légumes,
Rougail tomate,
Cari poulet,
Massalé d'agneaux,
Rougail saucisse,
Colombo porc ou poulet,
Couscous agneau,
Couscous poulet,
porc au caramel ou à l'ananas,
poulet banane plantain,
poisson braisé à la Kmer,
mafé boeuf ,
mafé poulet,
Salade à la chair de crabe,
Salade aux crevettes,
Salade au poulet,
Salade fruits de mer à la papaye (épicé thaï),
Salade crevettes à la papaye (épicé thaï),
Salade à la papaye (épicé thaï),
Nêms au porc,
Néms au poulet,
Néms aux crevettes,
Néms aux légumes,
Hors d'œuvre assortiment,
Samoussa au bœuf,
Croquettes de crevette frits,
Raviolis pékinois frits,
Beignets de crevettes,
Potage aux asperges et à la chair de crabe,
Potage pékinois (épicé),
