PLAT
"Pizza au lardon",
"Antipasto al All",
"Pate Bruschetta",
"Pate fraiche",
"Tagliatelle Linguine",
"Lasagne al forno",
"Risotto Po",
"Pate Gnocchi Gorgonzola e Noc",
"Pizza Ravioli ai Funghi Porcini",
"Pizza Chitarra Fusilli Maccheroni",
"Pizza margherita",
"Pizza Sauce tomate mozzarella origan",
"Pizza Parma",
"Pizza Marchesi",
"Pizza Mortadella Ia Truffe artichaut",
"Pizza Napolitain",
"Pizza Bufflonne thon courgettes",
"Pizza Cesaroni",
"Pizza Diavola",
"Parmigiana",
"Mozzarella parmesan basilic",
"Copeaux de parmesan",
"Boeuf roquette",
"Milanese",
"Giaduja",
"Tiramisu",
"Caro mel",
"Crostatina al Limone",
"Terrine de Foie Gras de Canard",
"Jambon Bellota",
"Tomate Jouno Burrata",
"Salade de chévre chaud",
"Mozzarella",
"Poélée de crevettes",
"Piment despelette",
"Oeuf cocotte au Foie Gras de Canard"
"Asperges",
"Jambon Basque",
"Filet de boeuf Angus",
"Ris de veau de coeur",
"Filet mignon de porc ibérique"
"Cassoulet",
"Magret de canard",
"Dos de Cabillaud",
"Noix de saint Jacques"
"Confit de canard",
"Profite roles",
"Brioche perdue",
"Gateau Basque",
"Croustillant de fraises et de framboises",
"Filet de bceuf poélé",
"Galette de socca Ratatouille nigolse",
"Salade de Mozzarella",
"Salade Lyonnaise",
"Antipasti",
"Salade caprese",
"Carpaccio de boeuf",
"Pizza toscane",
"Pate Rigatoni",
"Escalope la parmiggiana",
"Pommes de terre paprika",
"Salade coleslaw",
"Soupe de légumes",
"Boulette de boeuf épicé",
"Épinard",
"Tiramisu à la violette",
"Tarte Tatin aux fruit de saison",
"Cookie chocolat",
"Panacotta fruit rouge",
"Mozzarella champignons",
"Mozzarella courgettes",
"Mozzarella pecorino",
"Mozzarella jambon fumé",
"Mozzarella saucisse piquante",
"Pizza Diavola",
"Pizza Boscaiola",
"Pizza Rustica",
"Pizza Zucchine",
"Pizza Cremosa",
"Pizza Carciofina",
"Burger Galileo",
"Burger Leonardo",
"Burger Végétarien",
"SORBET CASSIS",
"SORBET MANGUE",
"SORBET CITRON",
"SORBET FRAMBOISE",
"GLACE FRAISE DES BOIS",
"Glace menthe",
"Glace Noisette",
"Glace Marrons glacés",
"Glace Figue",
"Sorbet Fraises",
"Sorbet Fraises Framboise",
"Sorbet Framboise",
"Sorbet Fruits de la passion",
"Sorbet Mangue",
"Noix de st jacques",
"Cochon iberique",
"Cabillaud",
"bette rave",
"St Marcellin Chaud",
"Ravioles",
"Ravioles",
"Charolaise",
"bisque de homard",
"Andouillette",
"Profiteroles géantes",
"Mousse au chocolat",
"Creme brulee",
"Brandade de Morue Fraiche",
"Petite Salade de Roquette",
"Fish and Chips",
"Poulet Fermier la Créme",
"Riz Pilaf",
"Petit Salé aux Lentilles"
"Aile de Raie Crenobloise",
"Pommes Vapeur",
"Tarte au Citron Meringuée",
"Millefeuille la Vanille Bourbon",
"Tarte aux Pralines Roses de Saint- Cenix",
"Le Saint-Honoré",
"Tarte Tatin Revisitée",
"Wings de poulet",
"Tempuras de I'égumes",
"Wings de poulet",
"onion rings",
"ribs de porc marinés",
"Camembert Cceur de Lion",
"Emmental bouchées au Cheddar",
"Viande Tartare",
"Tempuras de Iégumes",
"brocolis à la crème",
"choux-fleurs à la crème",
"ciboulette",
"FILET DE BOEUF CHATEAUBRIAND",
"Le persillé",
"TARTARE AUX COUTEAUX",
"CHAROLAIS",
"Tartare assaisonné",
"Ribs de porc marinés",
"TARTARE AUX COUTEAUX",
"TARTARE CLASSIQUE",
"Carpacio de boeuf",
"Cote de boeuf assaisonné",
"Salade lyonnaise",
"Tarte tiéde au boudin noir",
"Pommes du Pilat",
"Påté en croüte aux ris de veau et foie gras",
"Quenelle de brochet",
"sauce Nantua",
"Gåteau de foie de volaille",
"créme d'écrevlsses et risotto aux champignons",
"Saint cochon du Bistrot",
"andouillette",
"boudin noir",
"LE PAVÉ DE BOEUF",
"Mayonnaise aux herbes Chimichurri",
"Fromage d'Auvergne",
"LE TARTARE DU PIÉMONT",
"LE STEAK CHEVAL",
"Steak haché frais",
"LA POUTINE CHEDDAR & BACON",
