PREVIOUS,CURRENT
n’a,pas
pas,pu
pu,vous
vous,échapper
échapper,:
:,depuis le
depuis le,début
début,du
du,confinement
cette,affiche
affiche,réalisée
réalisée,par l’illustrateur
par l’illustrateur,Mathieu
Mathieu,Persan
a,fait
fait,le
le,tour
tour,des réseaux
des réseaux,sociaux
sociaux,L’artiste
L’artiste,a
a,décidé
décidé,d’aller
d’aller,plus
plus,loin dans sa
loin dans sa,démarche
démarche,et de mettre
et de mettre,en vente
en vente,des tirages
des tirages,de l’affiche
de l’affiche,afin
afin,de
de,reverser
reverser,l’intégralité
l’intégralité,des bénéfices
des bénéfices,aux fondations
aux fondations,et directions
et directions,du
du,mécénat
mécénat,de divers
de divers,CHU
CHU,de notre
de notre,territoire
territoire,en local
en local,c’estàdire
c’estàdire,au plus
au plus,près des besoins
près des besoins,des personnels
des personnels,hospitaliers
hospitaliers,».
».,Si
Si,vous
vous,voulez
voulez,contribuer
contribuer,en achetant
en achetant,cette
cette,affiche
affiche,c’est
c’est,par ici
Devant,la situation
la situation,terrible
terrible,que
que,vivent
vivent,les
les,soignants
soignants,nous
nous,lançons
lançons,avec
avec,sergeantpaper
sergeantpaper,une
une,campagne
campagne,Kissbankers
Kissbankers,afin
afin,de récolter
de récolter,des fonds
des fonds,!
!,https//bitly/3bFl1JH
Merci,par avance
par avance,pour votre
pour votre,soutien
soutien,!
Informations,sur les
sur les,Publicités
Publicités,Twitter
Twitter,et confidentialité
59,personnes
personnes,parlent
parlent,à ce
à ce,sujet
Les,articles
articles,qu’il
qu’il,ne
ne,fallait
fallait,pas
pas,manquer
Reportage,:
:,A l’Ehpad
A l’Ehpad,des QuatreSaisons
des QuatreSaisons,la vie
la vie,et la mort
et la mort,au jour
au jour,le
le,jour
Chronique,:
:,Le
Le,confinement
confinement,ça
ça,ne
ne,mange
mange,pas
pas,de pain
de pain,vraiment
vraiment,?
Témoignage,:
:,Alain
Alain,Domini
Domini,berger
berger,d’estive
d’estive,:
:,En
En,montagne
montagne,on
on,se
se,focalise
focalise,sur le
sur le,vivant
Et,nos
nos,recommandations
recommandations,:
Divertissement,:
:,Cinq
Cinq,séries
séries,comiques
comiques,pour alléger
pour alléger,le
le,confinement
Emplettes,:
:,Treize
Treize,sites
sites,pour faire
pour faire,son
son,marché
marché,en ligne
Sport,:
:,Quelle
Quelle,activité
activité,physique
physique,pour les
pour les,personnes
personnes,âgées
âgées,?
Parce,qu’il
qu’il,faut
faut,bien
bien,en rire
Calculez,grâce à ce
grâce à ce,test
test,hautement
hautement,scientifique
scientifique,à quel
à quel,moment
